NOM, ADRESSE, CODE_POSTAL, VILLE
"Vaccinodrome de Paris", "382 Avenue Chiguer", 75500, "Paris"
"Hopital Duchenes", "31 Avenue Compans-Caffareli", 13200, "Marseille"
"Centre de soins de Toulouse", "35 Rue Riquet", 31010, "Toulouse"
"Cabinet de medecins de Paris", "84 Place Chemlal", 75450, "Paris"
"Maison de sante de Marseille", "104 Place Charles Camichel", 13300, "Marseille"
"Vaccinodrome Curie", "10 Avenue du Soleil", 31050, "Toulouse"
"Hopital Chirurgical", "23 Rue des Beaux-Arts", 13300, "Marseille"
"Centre de soins de Paris", "43 Avenue Haussmann", 75400, "Paris"
"Vaccinodrome de Toulouse", "6 rue Charles Camichel", 31060, "Toulouse"
"Vaccinodrome de Marseille", "4 Place de la Jetée", 13100, "Marseille"
"Hopital de Paris", "143 Allée Jules Guesdes", 75600, "Paris"
"Maison de sante de Toulouse", "104 Allée Charlie Chaplin", 31080, "Toulouse"
